"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","ont"
"GO:0045597","positive regulation of cell differentiation","5/345","39/6316",0.128205128205128,2.347082868822,2.02825820592945,0.0592202385346663,0.709725875568595,0.689069469956144,"rbm24a/ccn4a/brinp2/fgfr1a/csf3a",5,"brown","BP"
"GO:0007409","axonogenesis","10/345","105/6316",0.0952380952380952,1.74354727398206,1.84669494353854,0.0598754140269213,0.709725875568595,0.689069469956144,"sema7a/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/sema6a/cntn3a.1/nfasca/LOC100702708",10,"brown","BP"
"GO:0000281","mitotic cytokinesis","3/345","17/6316",0.176470588235294,3.2306905370844,2.21360777148587,0.0621674588035943,0.709725875568595,0.689069469956144,"ect2/iqgap2/klhdc8b",3,"brown","BP"
"GO:0010927","cellular component assembly involved in morphogenesis","3/345","17/6316",0.176470588235294,3.2306905370844,2.21360777148587,0.0621674588035943,0.709725875568595,0.689069469956144,"LOC102076662/csrp1b/slmapb",3,"brown","BP"
"GO:0097193","intrinsic apoptotic signaling pathway","3/345","17/6316",0.176470588235294,3.2306905370844,2.21360777148587,0.0621674588035943,0.709725875568595,0.689069469956144,"ddias/bcl2l1/LOC100689935",3,"brown","BP"
"GO:0031109","microtubule polymerization or depolymerization","4/345","28/6316",0.142857142857143,2.61532091097308,2.05899007778916,0.0635805452354141,0.709725875568595,0.689069469956144,"cdk5rap2/tppp2/gas2l1/LOC100702708",4,"brown","BP"
"GO:0007420","brain development","5/345","40/6316",0.125,2.28840579710145,1.96477981515705,0.0647913443593575,0.709725875568595,0.689069469956144,"pou3f3b/git2a/cntn3a.1/nfasca/tacc2",5,"brown","BP"
"GO:0051301","cell division","5/345","40/6316",0.125,2.28840579710145,1.96477981515705,0.0647913443593575,0.709725875568595,0.689069469956144,"snx33/ect2/spartb/iqgap2/klhdc8b",5,"brown","BP"
"GO:0060322","head development","5/345","40/6316",0.125,2.28840579710145,1.96477981515705,0.0647913443593575,0.709725875568595,0.689069469956144,"pou3f3b/git2a/cntn3a.1/nfasca/tacc2",5,"brown","BP"
"GO:0048812","neuron projection morphogenesis","11/345","121/6316",0.0909090909090909,1.66429512516469,1.77339624535378,0.0656292515831122,0.710734963167112,0.69004918829612,"sema7a/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/sema6a/cntn3a.1/pacsin1a/nfasca/LOC100702708",11,"brown","BP"
"GO:0030335","positive regulation of cell migration","6/345","53/6316",0.113207547169811,2.07251845775226,1.88462172589707,0.0673294951141932,0.720955155548609,0.699971924368727,"sema7a/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/sema6a",6,"brown","BP"
"GO:0120039","plasma membrane bounded cell projection morphogenesis","11/345","122/6316",0.0901639344262295,1.65065336184367,1.74428193232045,0.0687880978777125,0.724979451116853,0.70387909375569,"sema7a/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/sema6a/cntn3a.1/pacsin1a/nfasca/LOC100702708",11,"brown","BP"
"GO:0022008","neurogenesis","19/345","242/6316",0.0785123966942149,1.43734578991496,1.6675080100018,0.0692267891412735,0.724979451116853,0.70387909375569,"sema7a/LOC102076948/LOC102077296/LOC106096445/aplp2/si:dkey-49n23.1/irx2a/brinp2/sema6a/nsmfb/tncb/cntn3a.1/pacsin1a/erbb3b/gprin1/nfasca/LOC100702708/mapta/erbb2",19,"brown","BP"
"GO:0051146","striated muscle cell differentiation","3/345","18/6316",0.166666666666667,3.0512077294686,2.09467793606774,0.0716920283532422,0.742635902398259,0.721021658152172,"csrp1b/rbm24a/popdc2",3,"brown","BP"
"GO:0040012","regulation of locomotion","8/345","81/6316",0.0987654320987654,1.80812309894435,1.75944011863171,0.0734890812016568,0.749329187383619,0.727520136643509,"sema7a/LOC102076948/LOC102077296/LOC106096445/si:dkey-49n23.1/si:dkey-92i15.4/sema6a/nsmfb",8,"brown","BP"
